state,type,max_price,min_price,address,lat,lng,landArea,builtUp,sizeUnit,level1,level2,level3
selangor,sale,1100000,1100000,"Garden Residence, Cyber 2, Cyberjaya , Cassia, Evergreen @ Garden Residence , 63000, Selangor",2.946655,101.6708468,3400,3068,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,0,777888,"City of Elmina, Shah Alam, Selangor",3.187967,101.513978,,From 1668 - 2468,,Selangor,Shah Alam,City of Elmina : Ilham Residence 2
selangor,sale,776000,776000,"Cyberjaya, Kota Warisan, Selangor, SWT Tropika Residence, 63000, Selangor",2.824222,101.6958172,,2206,SQUARE_FEET,Selangor,Cyberjaya,
selangor,sale,565000,565000,"Persiaran Tropicana, Tropicana, 47301, Selangor",3.13739,101.59415,,1184,SQUARE_FEET,Selangor,Tropicana,Casa Tropicana
selangor,sale,630000,630000,"Jalan Pu 8, Taman Puchong Utama , TAMAN PUCHONG UTAMA, End lot , 47100, Selangor",2.985237,101.6155368,1080,1800,SQUARE_FEET,Selangor,Puchong,
selangor,sale,3200000,3200000,"Section 16, Seksyen 16, Petaling Jaya, PJ, 46350, Selangor",,,9300,6000,SQUARE_FEET,Selangor,Petaling Jaya,
selangor,sale,4300000,4300000,"Section 14, Seksyen 14, Jalan 14, Petaling Jaya,PJ, 46100, Selangor",,,7800,6000,SQUARE_FEET,Selangor,Petaling Jaya,
selangor,sale,4500000,4500000,"Section 17, Seksyen 17, Petaling Jaya, PJ, 46400, Selangor",,,11800,5300,SQUARE_FEET,Selangor,Petaling Jaya,
selangor,sale,730000,730000,"Persiaran Meranti, Off Persiaran Perdana, Bandar Sri Damansara, 52200, Selangor",3.181906,101.611423,,1468,SQUARE_FEET,Selangor,Bandar Sri Damansara,Damansara Foresta
selangor,sale,760000,760000,"Persiaran Meranti, Off Persiaran Perdana, Bandar Sri Damansara, 52200, Selangor",3.181906,101.611423,,1493,SQUARE_FEET,Selangor,Bandar Sri Damansara,Damansara Foresta
selangor,sale,4100000,4100000,"SS7, Kelana Jaya, Petaling Jaya, PJ, 47301, Selangor",,,8700,5000,SQUARE_FEET,Selangor,Petaling Jaya,
